collegeName,program,degree,decision,semester,origin,gpa,gre,gre_v,gre_aw
Rice,Computer Science,Masters,Rejected,F14,International,,,,
Georgia Tech,Computer Science,Masters,Other,F14,International,3.75,160,165,4.50
Virginia Tech,Computer Science,Masters,Accepted,F14,International,3.55,750,480,3.00
Texas State University,Computer Science,Masters,Accepted,F14,American,3.30,168,162,3.50
Columbia University,Computer Science,Masters,Accepted,F14,International,3.20,163,147,2.50
"University Of Minnesota, Twin Cities (UMN)",Computer Science,Masters,Accepted,F14,International,3.30,161,158,4.50
University At Buffalo - SUNY,Computer Science,Masters,Accepted,F14,International,,161,154,4.50
NYU,Computer Science,Masters,Other,F14,International,,,,
Ohio State University,Computer Science,Masters,Rejected,F14,,,,,
Dartmouth College,Computer Science (Digital Arts Concentration),Masters,Accepted,F20,American,,,,
Columbia University,Computer Science,Masters,Interview,F20,American,,,,
University Of Utah,Computer Science,Masters,Rejected,F20,International,3.50,163,155,3.50
University Of Utah,Computer Science,Masters,Rejected,F20,International,3.18,,,
"University Of California, Berkeley",Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Wait,F20,International,,,,
Columbia University,Computer Science,Masters,Interview,F20,International,,,,
Columbia University (Fu Foundation School Of Engineering),Computer Science,Masters,Interview,F20,International,,,,
Columbia University,Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Interview,F20,International,,,,
MILA,Computer Science,Masters,Other,F20,International,,,,
University Of Nevada Las Vegas,Computer Science,Masters,Accepted,F20,International,,,,
SUNY Stony Brook,Computer Science,Masters,Accepted,F20,,,165,143,3.50
Oklahoma State University,Computer Science,Masters,Accepted,F20,International,3.00,156,149,3.50
Columbia University,Computer Science,Masters,Interview,F20,,,,,
Columbia University,Computer Science,Masters,Interview,F20,,,,,
Columbia University,Computer Science,Masters,Other,F20,International,,,,
Virginia Tech,Computer Science,Masters,Rejected,F20,International,,,,
UC San Diego,Computer Science,Masters,Accepted,F20,International,,170,133,5.00
Columbia University (Fu Foundation School Of Engineering),Computer Science,Masters,Accepted,F20,International,,170,159,4.00
Columbia University,Computer Science,Masters,Other,Fall,International,,,,
Columbia University,Computer Science,Masters,Other,Fall,,,,,
Northeastern University,Computer Science,Masters,Rejected,Fall,International,,,,
Northeastern University,Computer Science,Masters,Accepted,Fall,International,,161,155,4.00
New York University,Computer Science,Masters,Accepted,Fall,International,,,,
University of Pennsylvania,Computer Science,Masters,Rejected,Fall,International,3.60,170,160,5.00
Arizona State University,Computer Science,Masters,Accepted,Fall,International,3.70,166,158,4.00
National University Of Singapore,Computer Science,Masters,Accepted,F20,International,,,,
Northeastern University,Computer Science,Masters,Rejected,Fall,International,,166,159,4.00
University of California-Irvine,Computer Science,Masters,Other,Fall,International,3.40,163,158,4.00
"University Of Massachusetts, Amherst",Computer Science,Masters,Accepted,Fall,International,3.90,170,147,4.00
Duke University,Computer Science,Masters,Accepted,Fall,International,,,,
Northeastern University,Computer Science,Masters,Rejected,Fall,International,,,,
Stanford University,Computer Science,Masters,Other,Fall,American,,,,
University Of Toronto,Computer Science,Masters,Other,Fall,International,,,,
University of Southern California,Computer Science,Masters,Other,Fall,International,,,,
University Of Toronto,"Computer Science (MScAC), Masters (F21)",Masters,Accepted,Fall,International,,,,
Northeastern University,Computer Science,Masters,Other,Fall,International,8.38,157,157,3.00
Florida International University,Computer Science,Masters,Accepted,Fall,International,,,,
University of Pennsylvania,Computer Science,Masters,Wait,Fall,American,3.82,,,
San Diego State University (SDSU),Computer Science,Masters,Accepted,F13,,,,,
"University Of Colorado, Boulder",Computer Science,Masters,Rejected,F13,American,3.35,163,167,4.50
University Of British Columbia,Computer Science,Masters,Accepted,F13,American,3.35,163,167,4.50
University Of Toronto,Computer Science,Masters,Rejected,F13,International,,,,
University Of Western Ontario (UWO),Computer Science,Masters,Rejected,F13,International,3.54,165,149,3.00
University Of California Riverside,Computer Science,Masters,Other,F13,American,3.60,155,157,3.50
SUNY - Stony Brook,Computer Science,Masters,Accepted,F13,International,3.08,170,147,2.50
Clemson University,Computer Science,Masters,Rejected,F13,International,3.38,145,163,3.00
University of Rochester,Computer Science,Masters,Wait,F13,International,,,,
University of Florida,Computer Science,Masters,Rejected,F13,International,,,,
"University Of Colorado, Boulder",Computer Science,Masters,Rejected,F13,International,,,,
SUNY Stony Brook,Computer Science,Masters,Accepted,F13,,,,,
UCLA,Computer Science,Masters,Rejected,F13,International,3.72,162,158,4.00
Columbia University,Computer Science,Masters,Rejected,F13,International,3.72,162,158,4.00
Boston University,Computer Science,Masters,Accepted,F13,International,3.72,162,158,4.00
Columbia University,Computer Science,Masters,Accepted,F13,International,3.50,150,170,3.00
University Of Michigan (Ann Arbor),Computer Science,Masters,Rejected,F13,American,,,,
University of California-Riverside,Computer Science,Masters,Accepted,F13,American,3.93,157,155,
UMich,Computer Science,Masters,Rejected,F13,International,3.60,170,154,3.50
"University Of Colorado, Boulder",Computer Science,Masters,Rejected,F13,American,3.20,,,
McGill,Computer Science,Masters,Accepted,F12,International,,,,
University of Florida,Computer Science,Masters,Accepted,F12,International,,,,
University of Florida,Computer Science,Masters,Accepted,F12,International,,,,
Virginia Tech,Computer Science,Masters,Other,F12,International,,,,
Brandeis University,Computer Science,Masters,Accepted,F12,American,,,,
University Of Southern Callifornia USC,Computer Science,Masters,Other,F12,International,,,,
"University Of California, San Deigo",Computer Science,Masters,Other,F12,International,,,,
University Of Texas Austin,Computer Science,Masters,Other,F12,International,3.80,163,154,4.00
UCSD,Computer Science,Masters,Other,F12,American,3.58,157,157,4.50
University Of North Carolina At Chapel Hill (UNC),Computer Science,Masters,Other,F12,International,,,,
University Of California San Diego(UCSD),"Computer Science, Masters (F12)",Masters,Other,F12,International,,,,
University Of California San Diego(UCSD),"Computer Science,",Masters,Other,F12,International,,,,
Stony Brook University,Computer Science,Masters,Rejected,F12,International,3.81,165,143,2.50
University Of California San Diego(UCSD),Computer Science,Masters,Other,F12,International,,,,
University Of California San Diego(UCSD),Computer Science,Masters,Other,F12,International,,,,
